Max,Min,Mean,SD,Kurtosis,Skewness,RMS,Class
2.163239027,-1.941536283,0.003851355,0.808615397,-1.122641503,0.236634811,0.808599854,Faulty Bearing
2.090882098,-2.17406031,-0.000562614,0.81836435,-1.059147019,0.23767223,0.818348619,Faulty Bearing
2.040414643,-2.056351591,0.001394752,0.822871412,-1.024002722,0.239390546,0.822855594,Faulty Bearing
2.393475666,-2.063077555,0.002933763,0.883842627,-0.953078499,0.230423423,0.883825638,Faulty Bearing
2.166609755,-2.127411136,-0.000883984,0.861970607,-0.923488418,0.204196397,0.861954015,Faulty Bearing
2.205416666,-2.150992407,-0.000926905,0.857273957,-0.928783077,0.196830932,0.857257478,Faulty Bearing
2.150158628,-2.028010623,-0.001161895,0.83219434,-1.076806195,0.238400698,0.832178344,Faulty Bearing
1.995959284,-1.947878239,0.000722223,0.837077923,-1.035275482,0.261550469,0.837061833,Faulty Bearing
2.06034276,-2.123410492,-0.00698669,0.837613687,-1.005478789,0.258511017,0.837597586,Faulty Bearing
2.228825225,-2.03072034,-0.0014439,0.844517967,-0.994952135,0.251199613,0.844501733,Faulty Bearing
2.157189718,-2.075420031,0.000122747,0.842804296,-1.000242012,0.253217363,0.842788096,Faulty Bearing
2.203213296,-2.209240832,0.002857003,0.839696588,-0.95883852,0.214123555,0.839680447,Faulty Bearing
1.968327609,-2.116326484,-0.004283764,0.819280842,-1.061103972,0.222012484,0.819265093,Faulty Bearing
1.9943417,-2.196110279,-0.001860253,0.814769842,-1.031989598,0.232569419,0.81475418,Faulty Bearing
2.082663037,-2.168732189,0.000564967,0.822581918,-1.041758418,0.244842248,0.822566106,Faulty Bearing
2.154288558,-2.131494017,0.002401729,0.810139083,-1.002182889,0.223987785,0.810123511,Faulty Bearing
2.211839786,-2.020654329,-0.00186429,0.808774692,-1.000994346,0.219654113,0.808759146,Faulty Bearing
7.65639001,-9.505456628,-0.014861931,0.874449528,5.123286118,-0.411255167,0.874430981,Faulty Bearing
2.037697996,-2.093151842,0.000389574,0.821955312,-1.014085599,0.238450478,0.821939513,Faulty Bearing
2.048739543,-2.098019252,-0.00129701,0.812872717,-0.979862551,0.202886138,0.812857092,Faulty Bearing
2.156013377,-2.047705523,0.005466354,0.821694169,-0.975716947,0.242407092,0.821678375,Faulty Bearing
2.058113369,-2.031068293,0.003034097,0.832821519,-1.02072913,0.263737174,0.832805511,Faulty Bearing
